,workclass,education
7223, Private, HS-grad
7224, Private, Assoc-voc
7225, Private, HS-grad
7226, Private, Some-college
7227, Private, HS-grad
7228, Private, HS-grad
7229, Private, Bachelors
7230, Private, HS-grad
7231, Private, Some-college
7232, Private, HS-grad
7233, Private, Some-college
7234, State-gov, HS-grad
7235, State-gov, Bachelors
7236, Private, 10th
7237, Private, Some-college
7238, Private, Bachelors
7239, Private, Assoc-voc
7240, Private, HS-grad
7241, Private, HS-grad
7242, Private, Bachelors
7243, Local-gov, Bachelors
7244, Federal-gov, HS-grad
7245, Federal-gov, Some-college
7246, Private, Bachelors
7247, Private, HS-grad
7248, Private, Assoc-voc
7249, Private, Some-college
7250, Private, Some-college
7251, Private, 11th
7252, Private, Bachelors
7253, Private, Bachelors
7254, Private, 11th
7255, State-gov, HS-grad
7256, Private, HS-grad
7257, Self-emp-not-inc, HS-grad
7258, State-gov, Prof-school
7259, Private, HS-grad
7260, Private, Some-college
7261, Private, Assoc-acdm
7262, Private, HS-grad
7263, Federal-gov, Assoc-acdm
7264, Private, HS-grad
7265, Private, Some-college
7266, Private, Bachelors
7267, Private, 10th
7268, Private, Some-college
7269, Private, Prof-school
7270, Private, Some-college
7271, Private, Some-college
7272, Local-gov, Bachelors
7273, Private, HS-grad
7274, Self-emp-inc, HS-grad
7275, State-gov, Doctorate
7276, Private, HS-grad
7277, Local-gov, HS-grad
7278, Private, Doctorate
7279, Private, HS-grad
7280, Federal-gov, HS-grad
7281, Private, HS-grad
7282, Private, HS-grad
7283, Self-emp-inc, Bachelors
7284, Federal-gov, Bachelors
7285, State-gov, Masters
7286, Self-emp-inc, HS-grad
7287, Private, HS-grad
7288, Private, HS-grad
7289, Local-gov, Some-college
7290, State-gov, Bachelors
7291, ?, HS-grad
7292, Private, Bachelors
7293, Private, 11th
7294, Private, HS-grad
7295, Private, Assoc-acdm
7296, State-gov, Doctorate
7297, Private, HS-grad
7298, Self-emp-not-inc, Some-college
7299, Private, HS-grad
7300, Private, 1st-4th
7301, ?, HS-grad
7302, Private, HS-grad
7303, Private, Bachelors
7304, Private, Bachelors
7305, Private, Assoc-voc
7306, Local-gov, Bachelors
7307, Private, Bachelors
7308, Private, 7th-8th
7309, Private, HS-grad
7310, Private, HS-grad
7311, Private, HS-grad
7312, Local-gov, 11th
7313, Private, Bachelors
7314, Private, HS-grad
7315, Private, HS-grad
7316, Private, Some-college
7317, Self-emp-inc, Masters
7318, Private, HS-grad
7319, Private, 1st-4th
7320, State-gov, Doctorate
7321, Private, 7th-8th
7322, ?, Some-college
7323, Private, Bachelors
7324, Private, HS-grad
7325, State-gov, Some-college
7326, State-gov, Assoc-acdm
7327, State-gov, Doctorate
7328, Private, 7th-8th
7329, Private, HS-grad
7330, State-gov, Masters
7331, Private, HS-grad
7332, Self-emp-not-inc, HS-grad
7333, Private, Some-college
7334, Private, 10th
7335, Private, Assoc-voc
7336, Private, Some-college
7337, Self-emp-not-inc, Prof-school
7338, Private, Some-college
7339, Self-emp-not-inc, Some-college
7340, ?, Some-college
7341, Local-gov, Some-college
7342, Private, Some-college
7343, Private, 10th
7344, Private, Some-college
7345, Private, Some-college
7346, Private, HS-grad
7347, Local-gov, Bachelors
7348, State-gov, Some-college
7349, Private, Bachelors
7350, Local-gov, Some-college
7351, Private, HS-grad
7352, ?, Some-college
7353, Private, Masters
7354, Private, Assoc-acdm
7355, Self-emp-inc, Some-college
7356, Local-gov, Assoc-acdm
7357, Private, 10th
7358, Private, Bachelors
7359, Local-gov, Masters
7360, Private, 11th
7361, Private, 12th
7362, Private, Some-college
7363, Private, 10th
7364, Private, Some-college
7365, Self-emp-not-inc, 11th
7366, Private, 7th-8th
7367, Federal-gov, Some-college
7368, Self-emp-not-inc, Some-college
7369, Private, Some-college
7370, Private, Bachelors
7371, Self-emp-not-inc, Prof-school
7372, Private, Some-college
7373, Private, Some-college
7374, Private, HS-grad
7375, Local-gov, HS-grad
7376, Private, HS-grad
7377, Private, Some-college
7378, Private, Some-college
7379, Federal-gov, HS-grad
7380, Local-gov, Some-college
7381, Private, Some-college
7382, Private, Some-college
7383, Private, HS-grad
7384, Private, HS-grad
7385, Private, Bachelors
7386, Private, Some-college
7387, Private, HS-grad
7388, Private, Some-college
7389, Private, Bachelors
7390, Private, HS-grad
7391, Private, Assoc-voc
7392, Private, Some-college
7393, Private, Assoc-acdm
7394, Private, HS-grad
7395, Self-emp-not-inc, 10th
7396, Private, Some-college
7397, Private, Masters
7398, Private, Some-college
7399, Local-gov, Masters
7400, Private, HS-grad
7401, Self-emp-inc, Some-college
7402, Self-emp-not-inc, Assoc-acdm
7403, Private, Some-college
7404, Self-emp-inc, HS-grad
7405, Private, Assoc-acdm
7406, Private, HS-grad
7407, Private, HS-grad
7408, Private, Some-college
7409, Private, Bachelors
7410, Private, Some-college
7411, Private, Bachelors
7412, Private, Some-college
7413, Self-emp-not-inc, Masters
7414, Private, Some-college
7415, Private, Some-college
7416, Private, HS-grad
7417, Private, Bachelors
7418, Self-emp-inc, Masters
7419, Private, Some-college
7420, Private, Some-college
7421, State-gov, Bachelors
7422, Private, HS-grad
7423, Private, Bachelors
7424, Private, 9th
7425, Private, Assoc-acdm
7426, Self-emp-not-inc, Some-college
7427, Private, Some-college
7428, Private, HS-grad
7429, Self-emp-not-inc, Masters
7430, Private, 10th
7431, Private, HS-grad
7432, Private, Some-college
7433, Local-gov, Some-college
7434, Private, Bachelors
7435, Private, HS-grad
7436, Private, Some-college
7437, ?, HS-grad
7438, Private, 5th-6th
7439, Local-gov, Bachelors
7440, Local-gov, 11th
7441, Private, HS-grad
7442, Private, Assoc-acdm
7443, Private, Assoc-acdm
7444, Private, HS-grad
7445, Private, HS-grad
7446, Private, HS-grad
7447, Self-emp-not-inc, HS-grad
7448, Private, HS-grad
7449, Private, Some-college
7450, Private, HS-grad
7451, Private, 11th
7452, Private, Assoc-voc
7453, Private, Some-college
7454, Private, 11th
7455, Private, 5th-6th
7456, Private, Bachelors
7457, ?, HS-grad
7458, Private, Some-college
7459, Private, HS-grad
7460, Local-gov, Masters
7461, Federal-gov, Bachelors
7462, Local-gov, HS-grad
7463, ?, Some-college
7464, Local-gov, Bachelors
7465, Private, Some-college
7466, Private, HS-grad
7467, Private, Masters
7468, Private, HS-grad
7469, Private, Some-college
7470, Private, Assoc-voc
7471, Private, 10th
7472, ?, HS-grad
7473, Private, Bachelors
7474, Private, Some-college
7475, Private, HS-grad
7476, Private, 12th
7477, Private, Some-college
7478, Private, HS-grad
7479, Self-emp-not-inc, Some-college
7480, Private, 10th
7481, Private, HS-grad
7482, Private, HS-grad
7483, Private, 9th
7484, Private, HS-grad
7485, Private, Masters
7486, Local-gov, Bachelors
7487, Private, Assoc-voc
7488, Local-gov, Masters
7489, Private, Bachelors
7490, Private, HS-grad
7491, Private, HS-grad
7492, Private, HS-grad
7493, Self-emp-not-inc, Prof-school
7494, Private, Some-college
7495, State-gov, Bachelors
7496, Private, HS-grad
7497, Self-emp-inc, Bachelors
7498, Private, HS-grad
7499, Private, Some-college
7500, Self-emp-not-inc, Some-college
7501, Self-emp-not-inc, Bachelors
7502, Private, Some-college
7503, Local-gov, Doctorate
7504, Private, 10th
7505, Private, Assoc-acdm
7506, Private, HS-grad
7507, Self-emp-not-inc, Some-college
7508, Private, HS-grad
7509, Private, Some-college
7510, ?, HS-grad
7511, Private, HS-grad
7512, Private, HS-grad
7513, Local-gov, Bachelors
7514, Private, 11th
7515, Private, 5th-6th
7516, Federal-gov, Bachelors
7517, Private, Doctorate
7518, Private, Assoc-acdm
7519, Private, HS-grad
7520, Private, HS-grad
7521, Private, HS-grad
7522, Private, HS-grad
7523, Private, HS-grad
7524, Private, HS-grad
7525, Private, 11th
7526, Self-emp-not-inc, 10th
7527, Private, Some-college
7528, Private, HS-grad
7529, Private, HS-grad
7530, Private, Some-college
7531, Private, Bachelors
7532, Local-gov, Masters
7533, Private, HS-grad
7534, Federal-gov, Assoc-acdm
7535, Private, Bachelors
7536, Private, HS-grad
7537, Private, Some-college
7538, Private, HS-grad
7539, Private, 12th
7540, Self-emp-not-inc, Assoc-acdm
7541, Private, HS-grad
7542, Private, 11th
7543, Local-gov, Masters
7544, Private, Some-college
7545, Private, Some-college
7546, Private, Some-college
7547, Private, 11th
7548, Private, HS-grad
7549, Local-gov, HS-grad
7550, Private, HS-grad
7551, State-gov, Some-college
7552, Private, Bachelors
7553, Self-emp-not-inc, Some-college
7554, ?, HS-grad
7555, Private, Masters
7556, Self-emp-inc, Bachelors
7557, Self-emp-not-inc, HS-grad
7558, Self-emp-inc, Prof-school
7559, ?, Bachelors
7560, ?, Some-college
7561, Private, Bachelors
7562, Private, HS-grad
7563, Private, Some-college
7564, Private, HS-grad
7565, Private, HS-grad
7566, Private, Assoc-voc
7567, Private, 10th
7568, Private, Bachelors
7569, Private, 11th
7570, Private, HS-grad
7571, Private, Bachelors
7572, Private, HS-grad
7573, Private, HS-grad
7574, State-gov, Some-college
7575, Self-emp-not-inc, Assoc-voc
7576, ?, Bachelors
7577, Private, Some-college
7578, Private, Assoc-voc
7579, ?, Bachelors
7580, Private, HS-grad
7581, Private, HS-grad
7582, Self-emp-not-inc, HS-grad
7583, Private, Some-college
7584, ?, HS-grad
7585, Private, HS-grad
7586, Private, 11th
7587, Private, HS-grad
7588, Self-emp-not-inc, Bachelors
7589, Local-gov, Bachelors
7590, Private, 7th-8th
7591, Private, HS-grad
7592, Private, Some-college
7593, State-gov, Bachelors
7594, Private, 11th
7595, Private, Some-college
7596, Private, Some-college
7597, State-gov, Some-college
7598, Private, HS-grad
7599, Private, Masters
7600, Private, HS-grad
7601, Private, Some-college
7602, Self-emp-inc, HS-grad
7603, Private, Bachelors
7604, Local-gov, Some-college
7605, Private, HS-grad
7606, Self-emp-not-inc, Bachelors
7607, Private, HS-grad
7608, Private, Some-college
7609, Private, Some-college
7610, Private, HS-grad
7611, ?, Some-college
7612, Private, 9th
7613, Local-gov, 12th
7614, Private, HS-grad
7615, Federal-gov, HS-grad
7616, Private, 11th
7617, Private, HS-grad
7618, Private, HS-grad
7619, Private, HS-grad
7620, Private, HS-grad
7621, Private, Masters
7622, Private, HS-grad
7623, Private, HS-grad
7624, Federal-gov, Bachelors
7625, Private, Some-college
7626, Private, 7th-8th
7627, Private, Some-college
7628, Private, HS-grad
7629, Private, Prof-school
7630, Private, 10th
7631, Private, HS-grad
7632, Private, Some-college
7633, Private, 9th
7634, State-gov, Masters
7635, Private, 10th
7636, Private, Some-college
7637, Local-gov, Bachelors
7638, Private, HS-grad
7639, Private, Some-college
7640, Private, 7th-8th
7641, Self-emp-inc, Some-college
7642, Private, HS-grad
7643, Self-emp-not-inc, Some-college
7644, Private, 9th
7645, Private, HS-grad
7646, Private, 11th
7647, Private, Some-college
7648, Private, HS-grad
7649, Private, Some-college
7650, Private, 11th
7651, Federal-gov, Some-college
7652, Private, 11th
7653, Private, HS-grad
7654, Federal-gov, Bachelors
7655, Private, Assoc-acdm
7656, Private, Some-college
7657, Self-emp-inc, HS-grad
7658, Private, HS-grad
7659, Private, Bachelors
7660, Private, Some-college
7661, Private, 12th
7662, Self-emp-not-inc, Bachelors
7663, ?, 11th
7664, Private, HS-grad
7665, Private, Assoc-voc
7666, Self-emp-not-inc, Masters
7667, Private, 10th
7668, Private, Some-college
7669, Self-emp-not-inc, HS-grad
7670, Private, HS-grad
7671, Private, Masters
7672, Private, HS-grad
7673, Private, Bachelors
7674, Private, Assoc-acdm
7675, Private, Some-college
7676, Private, Some-college
7677, Private, HS-grad
7678, Local-gov, Bachelors
7679, Private, Assoc-voc
7680, Private, Assoc-voc
7681, Self-emp-inc, Bachelors
7682, Private, Some-college
7683, ?, HS-grad
7684, Private, Some-college
7685, Private, HS-grad
7686, Local-gov, HS-grad
7687, Private, Bachelors
7688, Self-emp-not-inc, Bachelors
7689, Self-emp-not-inc, HS-grad
7690, Private, Doctorate
7691, Private, Some-college
7692, Local-gov, Masters
7693, Self-emp-not-inc, HS-grad
7694, Self-emp-inc, Some-college
7695, Private, Some-college
7696, Private, Some-college
7697, Private, 7th-8th
7698, Federal-gov, Some-college
7699, Private, Bachelors
7700, Private, HS-grad
7701, Private, Masters
7702, State-gov, HS-grad
7703, Private, Some-college
7704, Private, HS-grad
7705, Private, 5th-6th
7706, Private, HS-grad
7707, Private, HS-grad
7708, Private, Bachelors
7709, Private, Bachelors
7710, Local-gov, Bachelors
7711, Self-emp-not-inc, Some-college
7712, Private, HS-grad
7713, Private, HS-grad
7714, Local-gov, Masters
7715, Private, HS-grad
7716, Self-emp-not-inc, HS-grad
7717, Private, HS-grad
7718, Private, Some-college
7719, Private, Some-college
7720, Private, Masters
7721, Private, Bachelors
7722, Private, 12th
7723, Private, Some-college
7724, ?, Bachelors
7725, Private, HS-grad
7726, Private, Some-college
7727, Private, Some-college
7728, Self-emp-not-inc, Some-college
7729, Private, 12th
7730, Private, 1st-4th
7731, Private, HS-grad
7732, Private, Prof-school
7733, Private, Some-college
7734, Private, Some-college
7735, Self-emp-not-inc, HS-grad
7736, Private, HS-grad
7737, Self-emp-not-inc, Some-college
7738, Private, Some-college
7739, Private, 1st-4th
7740, ?, Bachelors
7741, Private, 7th-8th
7742, Private, 9th
7743, Private, HS-grad
7744, Private, Some-college
7745, Private, HS-grad
7746, ?, HS-grad
7747, Private, Some-college
7748, Private, Some-college
7749, Local-gov, Bachelors
7750, ?, HS-grad
7751, Self-emp-not-inc, 9th
7752, Private, Bachelors
7753, Private, HS-grad
7754, Private, 11th
7755, Private, 11th
7756, Private, 11th
7757, Private, Some-college
7758, Private, 10th
7759, Private, HS-grad
7760, Federal-gov, HS-grad
7761, Private, Assoc-acdm
7762, Private, HS-grad
7763, ?, 7th-8th
7764, Private, 9th
7765, Private, Bachelors
7766, Private, HS-grad
7767, Private, HS-grad
7768, Local-gov, 5th-6th
7769, Private, 10th
7770, State-gov, Some-college
7771, Private, Some-college
7772, Private, HS-grad
7773, ?, 7th-8th
7774, Private, HS-grad
7775, Self-emp-not-inc, Some-college
7776, Private, HS-grad
7777, Private, Doctorate
7778, Private, Bachelors
7779, Private, 11th
7780, Private, Bachelors
7781, Private, HS-grad
7782, Private, Bachelors
7783, Self-emp-not-inc, Assoc-voc
7784, ?, Bachelors
7785, Private, HS-grad
7786, Local-gov, Masters
7787, ?, Some-college
7788, Private, 11th
7789, Private, Prof-school
7790, Private, HS-grad
7791, Private, HS-grad
7792, Private, Assoc-voc
7793, State-gov, Some-college
7794, Private, Some-college
7795, Private, Assoc-acdm
7796, Private, HS-grad
7797, Private, Bachelors
7798, Private, HS-grad
7799, Private, HS-grad
7800, Self-emp-not-inc, Bachelors
7801, Private, Bachelors
7802, Private, Some-college
7803, Private, HS-grad
7804, Private, Assoc-acdm
7805, Private, Bachelors
7806, Private, HS-grad
7807, Self-emp-inc, Some-college
7808, Private, Some-college
7809, Self-emp-not-inc, HS-grad
7810, Self-emp-not-inc, Assoc-acdm
7811, Private, Bachelors
7812, Private, Some-college
7813, Private, 11th
7814, Private, Bachelors
7815, ?, HS-grad
7816, Private, Some-college
7817, Private, HS-grad
7818, Private, Bachelors
7819, Private, HS-grad
7820, Private, Some-college
7821, Private, Some-college
7822, Private, HS-grad
7823, Private, Assoc-acdm
7824, Private, Masters
7825, Private, Some-college
7826, ?, HS-grad
7827, Self-emp-not-inc, Some-college
7828, Private, Masters
7829, Federal-gov, Some-college
7830, Private, HS-grad
7831, Private, Some-college
7832, Private, Some-college
7833, Private, HS-grad
7834, Private, HS-grad
7835, Local-gov, Bachelors
7836, Private, 10th
7837, Private, Some-college
7838, Private, Assoc-acdm
7839, ?, 7th-8th
7840, Private, Bachelors
7841, Private, HS-grad
7842, Self-emp-not-inc, Assoc-voc
7843, Local-gov, HS-grad
7844, Private, Masters
7845, Private, Some-college
7846, Private, HS-grad
7847, Private, Some-college
7848, Local-gov, Bachelors
7849, Private, Some-college
7850, Private, 1st-4th
7851, Local-gov, HS-grad
7852, Private, HS-grad
7853, Self-emp-not-inc, Some-college
7854, Self-emp-not-inc, Some-college
7855, State-gov, Some-college
7856, Local-gov, Assoc-acdm
7857, Local-gov, Masters
7858, Self-emp-not-inc, 11th
7859, Local-gov, Some-college
7860, Private, Masters
7861, Private, HS-grad
7862, ?, Some-college
7863, Private, Some-college
7864, Private, HS-grad
7865, Self-emp-not-inc, HS-grad
7866, Self-emp-not-inc, HS-grad
7867, Private, HS-grad
7868, State-gov, Some-college
7869, Federal-gov, 10th
7870, Private, Bachelors
7871, Private, 7th-8th
7872, ?, HS-grad
7873, Private, Some-college
7874, Self-emp-not-inc, Some-college
7875, Federal-gov, HS-grad
7876, ?, HS-grad
7877, Private, Some-college
7878, Local-gov, Some-college
7879, Private, Bachelors
7880, Private, HS-grad
7881, Private, Some-college
7882, Private, Assoc-acdm
7883, Self-emp-not-inc, Some-college
7884, Private, HS-grad
7885, Private, HS-grad
7886, Private, Some-college
7887, Private, Bachelors
7888, Private, Masters
7889, Private, Assoc-acdm
7890, Private, 9th
7891, Private, Some-college
7892, Private, Bachelors
7893, Self-emp-not-inc, HS-grad
7894, Private, Preschool
7895, Private, HS-grad
7896, Local-gov, Masters
7897, Private, HS-grad
7898, Private, HS-grad
7899, Private, Some-college
7900, ?, HS-grad
7901, Private, 11th
7902, Private, Bachelors
7903, Private, HS-grad
7904, Self-emp-inc, HS-grad
7905, ?, 7th-8th
7906, Self-emp-inc, Bachelors
7907, Private, Some-college
7908, Private, HS-grad
7909, Private, HS-grad
7910, Private, Bachelors
7911, Self-emp-not-inc, Some-college
7912, Private, Bachelors
7913, Local-gov, HS-grad
7914, Federal-gov, Masters
7915, Private, 7th-8th
7916, Private, HS-grad
7917, Private, Bachelors
7918, Private, HS-grad
7919, Private, HS-grad
7920, Private, 7th-8th
7921, Private, HS-grad
7922, Private, HS-grad
7923, Private, HS-grad
7924, State-gov, Doctorate
7925, Private, HS-grad
7926, Private, Some-college
7927, Local-gov, Assoc-voc
7928, Private, Some-college
7929, Private, Some-college
7930, Private, HS-grad
7931, Private, Bachelors
7932, Private, Some-college
7933, Private, Some-college
7934, Private, Some-college
7935, Private, Some-college
7936, State-gov, Bachelors
7937, Private, Some-college
7938, Private, HS-grad
7939, Private, Assoc-voc
7940, Private, 11th
7941, Private, Assoc-voc
7942, ?, Some-college
7943, Private, Some-college
7944, Private, Some-college
7945, Private, HS-grad
7946, Private, Some-college
7947, Private, 10th
7948, Private, HS-grad
7949, Private, Bachelors
7950, Private, Some-college
7951, Private, Some-college
7952, Private, Bachelors
7953, Private, Some-college
7954, Private, Assoc-voc
7955, Private, HS-grad
7956, Private, Some-college
7957, Private, 7th-8th
7958, Local-gov, Bachelors
7959, Private, HS-grad
7960, Private, Some-college
7961, Private, Prof-school
7962, Private, 12th
7963, ?, Some-college
7964, Private, 10th
7965, Private, HS-grad
7966, Private, Some-college
7967, Self-emp-not-inc, 11th
7968, Private, Some-college
7969, Private, HS-grad
7970, Self-emp-not-inc, 10th
7971, ?, 9th
7972, Private, Bachelors
7973, Self-emp-not-inc, Bachelors
7974, Self-emp-not-inc, HS-grad
7975, Private, Doctorate
7976, Private, Masters
7977, ?, Prof-school
7978, Private, HS-grad
7979, Private, Masters
7980, Federal-gov, Bachelors
7981, Private, Some-college
7982, Private, HS-grad
7983, Private, HS-grad
7984, Private, Bachelors
7985, Private, Bachelors
7986, Federal-gov, Some-college
7987, Private, Some-college
7988, Private, HS-grad
7989, Local-gov, Assoc-voc
7990, Private, 7th-8th
7991, Private, Bachelors
7992, Private, Assoc-voc
7993, Private, HS-grad
7994, Private, HS-grad
7995, Private, Prof-school
7996, Self-emp-not-inc, Some-college
7997, Private, Bachelors
7998, Self-emp-not-inc, HS-grad
7999, ?, Some-college
8000, Private, Masters
8001, Private, Some-college
8002, ?, Some-college
8003, Self-emp-not-inc, HS-grad
8004, Private, 11th
8005, Private, Some-college
8006, Private, HS-grad
8007, ?, Some-college
8008, Private, HS-grad
8009, Self-emp-inc, Bachelors
8010, State-gov, HS-grad
8011, Private, Some-college
8012, Private, HS-grad
8013, Private, Some-college
8014, Private, 7th-8th
8015, Private, HS-grad
8016, Private, Some-college
8017, Private, Some-college
8018, Private, HS-grad
8019, Private, Some-college
8020, Private, 10th
8021, State-gov, Some-college
8022, ?, 11th
8023, Private, Some-college
8024, Private, HS-grad
8025, Self-emp-not-inc, HS-grad
8026, Private, Bachelors
8027, Private, Bachelors
8028, Private, HS-grad
8029, Private, Masters
8030, Private, Bachelors
8031, Private, Bachelors
8032, Federal-gov, HS-grad
8033, Private, Some-college
8034, Self-emp-inc, Some-college
8035, Private, 11th
8036, Private, Bachelors
8037, Private, Some-college
8038, Self-emp-not-inc, Bachelors
8039, Self-emp-inc, Assoc-voc
8040, Private, Doctorate
8041, Private, Some-college
8042, ?, HS-grad
8043, Private, Some-college
8044, Private, Assoc-voc
8045, Self-emp-not-inc, HS-grad
8046, Self-emp-not-inc, Masters
8047, Private, Bachelors
8048, Private, HS-grad
8049, Private, HS-grad
8050, Private, HS-grad
8051, Federal-gov, Bachelors
8052, Private, 7th-8th
8053, ?, HS-grad
8054, Private, Assoc-acdm
8055, Private, Assoc-acdm
8056, Private, 9th
8057, ?, HS-grad
8058, Federal-gov, 11th
8059, Private, HS-grad
8060, Private, HS-grad
8061, Private, 9th
8062, Self-emp-not-inc, Some-college
8063, Private, 7th-8th
8064, Federal-gov, Bachelors
8065, Private, Some-college
8066, Self-emp-not-inc, HS-grad
8067, Private, Bachelors
8068, Private, Assoc-voc
8069, ?, 5th-6th
8070, Private, HS-grad
8071, Private, 11th
8072, Self-emp-not-inc, Assoc-acdm
8073, Private, Assoc-voc
8074, State-gov, HS-grad
8075, State-gov, Masters
8076, Self-emp-inc, HS-grad
8077, State-gov, HS-grad
8078, Private, Some-college
8079, Private, HS-grad
8080, Private, Preschool
8081, Private, Prof-school
8082, Private, HS-grad
8083, Private, Some-college
8084, Private, Masters
8085, ?, HS-grad
8086, Private, Assoc-voc
8087, Private, Assoc-voc
8088, ?, Preschool
8089, Federal-gov, Bachelors
8090, Private, HS-grad
8091, Private, Masters
8092, Private, HS-grad
8093, Private, HS-grad
8094, State-gov, 10th
8095, Private, HS-grad
8096, ?, Preschool
8097, Private, Masters
8098, ?, 12th
8099, Private, Some-college
8100, ?, Some-college
8101, Private, HS-grad
8102, Self-emp-not-inc, HS-grad
8103, Local-gov, Some-college
8104, Private, Masters
8105, Self-emp-inc, Prof-school
8106, Private, Some-college
8107, Federal-gov, Some-college
8108, Private, 11th
8109, Private, 12th
8110, Private, HS-grad
8111, Private, HS-grad
8112, Private, 7th-8th
8113, Private, HS-grad
8114, Private, Assoc-voc
8115, Private, HS-grad
8116, Self-emp-not-inc, Bachelors
8117, Self-emp-not-inc, Prof-school
8118, Private, Bachelors
8119, Self-emp-not-inc, HS-grad
8120, Private, 10th
8121, Private, Bachelors
8122, Private, Some-college
8123, Private, 11th
8124, Private, Prof-school
8125, Self-emp-not-inc, Bachelors
8126, Private, Doctorate
8127, Private, Bachelors
8128, Private, HS-grad
8129, Private, 11th
8130, Local-gov, HS-grad
8131, Private, HS-grad
8132, Private, 10th
8133, State-gov, Assoc-acdm
8134, ?, 11th
8135, Private, Some-college
8136, Private, HS-grad
8137, Self-emp-not-inc, Assoc-voc
8138, Self-emp-not-inc, HS-grad
8139, Local-gov, Bachelors
8140, Private, HS-grad
8141, Private, Some-college
8142, Local-gov, Bachelors
8143, Private, HS-grad
8144, Private, Bachelors
8145, Private, HS-grad
8146, Private, HS-grad
8147, ?, Assoc-acdm
8148, Private, Bachelors
8149, Private, 10th
8150, Private, Prof-school
8151, Private, HS-grad
8152, Private, Bachelors
8153, Private, Bachelors
8154, Self-emp-not-inc, Some-college
8155, Private, HS-grad
8156, Local-gov, HS-grad
8157, Private, Some-college
8158, Local-gov, HS-grad
8159, Local-gov, Bachelors
8160, Private, Bachelors
8161, Private, Assoc-acdm
8162, Private, HS-grad
8163, Private, HS-grad
8164, Private, 7th-8th
8165, Private, HS-grad
8166, Private, HS-grad
8167, Local-gov, Masters
8168, ?, Some-college
8169, Private, HS-grad
8170, Private, HS-grad
8171, State-gov, Bachelors
8172, Private, Bachelors
8173, Private, Bachelors
8174, Self-emp-inc, Prof-school
8175, Private, HS-grad
8176, Private, Some-college
8177, Private, HS-grad
8178, Private, 12th
8179, Private, 7th-8th
8180, Private, 12th
8181, Private, Assoc-acdm
8182, Private, HS-grad
8183, Private, HS-grad
8184, Private, HS-grad
8185, Private, Masters
8186, Private, HS-grad
8187, Private, Assoc-voc
8188, Private, Some-college
8189, ?, Some-college
8190, Private, HS-grad
8191, Local-gov, Masters
8192, Self-emp-not-inc, Some-college
8193, ?, Assoc-voc
8194, Private, Some-college
8195, Private, Bachelors
8196, Private, Some-college
8197, Private, HS-grad
8198, Federal-gov, Some-college
8199, Private, Some-college
8200, Private, HS-grad
8201, Private, Some-college
8202, Private, Bachelors
8203, Private, Some-college
8204, Private, 11th
8205, Private, Bachelors
8206, Self-emp-inc, Bachelors
8207, Private, HS-grad
8208, Private, Masters
8209, Private, Bachelors
8210, Private, Some-college
8211, Private, 1st-4th
8212, Private, Some-college
8213, Private, Masters
8214, Private, HS-grad
8215, Private, HS-grad
8216, Private, Assoc-voc
8217, Private, HS-grad
8218, Private, HS-grad
8219, Private, HS-grad
8220, Private, Some-college
8221, Private, Some-college
8222, ?, Assoc-acdm
8223, Private, Bachelors
8224, Federal-gov, Prof-school
8225, Self-emp-not-inc, Doctorate
8226, Self-emp-inc, Bachelors
8227, Private, Some-college
8228, State-gov, HS-grad
8229, Private, Assoc-voc
8230, Self-emp-not-inc, HS-grad
8231, Private, HS-grad
8232, Local-gov, Bachelors
8233, State-gov, HS-grad
8234, Private, Doctorate
8235, Self-emp-not-inc, 10th
8236, Private, Some-college
8237, Private, Masters
8238, Private, 7th-8th
8239, Private, Assoc-voc
8240, Self-emp-not-inc, Some-college
8241, ?, Some-college
8242, Private, Bachelors
8243, Private, 12th
8244, Private, 10th
8245, Self-emp-inc, Some-college
8246, Federal-gov, HS-grad
8247, Local-gov, Some-college
8248, Private, Bachelors
8249, Federal-gov, Prof-school
8250, Private, Bachelors
8251, State-gov, Masters
8252, Private, HS-grad
8253, Private, Some-college
8254, Private, HS-grad
8255, Private, Bachelors
8256, Private, Some-college
8257, Private, Some-college
8258, Private, Bachelors
8259, Private, HS-grad
8260, Private, Some-college
8261, Private, HS-grad
8262, Private, Bachelors
8263, Private, Some-college
8264, Private, Some-college
8265, Private, Bachelors
8266, Private, Bachelors
8267, Private, Bachelors
8268, Self-emp-not-inc, Bachelors
8269, Local-gov, Bachelors
8270, Private, Bachelors
8271, Private, Some-college
8272, Self-emp-not-inc, HS-grad
8273, Private, 5th-6th
8274, Private, HS-grad
8275, Private, HS-grad
8276, Private, HS-grad
8277, Private, HS-grad
8278, Private, Bachelors
8279, Private, HS-grad
8280, Local-gov, Doctorate
8281, State-gov, Bachelors
8282, Private, 5th-6th
8283, Private, Assoc-voc
8284, Private, HS-grad
8285, Self-emp-not-inc, HS-grad
8286, Self-emp-not-inc, Masters
8287, Private, 5th-6th
8288, Private, 11th
8289, Self-emp-not-inc, HS-grad
8290, Private, HS-grad
8291, Private, 11th
8292, Private, 7th-8th
8293, Private, HS-grad
8294, Federal-gov, Some-college
8295, Private, Some-college
8296, Private, Some-college
8297, ?, Some-college
8298, Private, Some-college
8299, Self-emp-not-inc, HS-grad
8300, Private, HS-grad
8301, Private, Bachelors
8302, Private, 10th
8303, Private, Some-college
8304, Private, HS-grad
8305, Private, 9th
8306, Private, Some-college
8307, Private, HS-grad
8308, Private, 11th
8309, Private, HS-grad
8310, Private, 1st-4th
